FieldNum,GangRelatedYN,CreatedDate,CreatedTime,CreatedID
19-124-FI,,20190806,1801,496
19-125-FI,N,20190807,1609,548
19-126-FI,N,20190807,1901,555
19-127-FI,,20190809,2239,400
19-128-FI,N,20190811,1118,544
19-129-FI,N,20190814,0010,559
19-130-FI,Y,20190815,2156,400
19-131-FI,N,20190817,2317,569
19-132-FI,Y,20190819,0238,557
19-133-FI,,20190819,1912,342
19-134-FI,N,20190822,1225,463
19-135-FI,N,20190822,1246,463
19-136-FI,N,20190822,1246,463
19-137-FI,N,20190822,1246,463
19-138-FI,N,20190822,1246,463
19-139-FI,N,20190822,1410,541
19-140-FI,,20190825,1952,559
19-141-FI,N,20190828,1157,461
19-142-FI,N,20190828,2231,380
19-143-FI,N,20190828,2231,548
19-144-FI,N,20190828,2234,380
19-145-FI,N,20190828,2237,405
19-146-FI,N,20190828,2245,372
19-147-FI,N,20190828,2251,420
19-148-FI,N,20190828,2255,372
19-150-FI,N,20190828,2259,420
19-152-FI,N,20190829,1207,405
19-153-FI,Y,20190830,1554,548
19-154-FI,N,20190903,1323,552
19-155-FI,N,20190903,1526,437
19-156-FI,Y,20190905,1348,541
19-157-FI,Y,20190905,2009,557
19-200-FI,Y,20191204,1538,492
19-158-FI,N,20190916,1839,569
19-159-FI,,20190919,2216,430
19-160-FI,,20190920,0131,599
19-161-FI,Y,20190920,1228,389
19-162-FI,Y,20190920,1233,389
19-163-FI,N,20190920,1243,389
19-165-FI,N,20190924,1746,569
19-166-FI,N,20190927,2149,441
19-168-FI,N,20190929,0353,592
19-167-FI,N,20190929,0336,592
19-169-FI,N,20191003,0117,506
19-170-FI,N,20191003,2240,492
19-171-FI,Y,20191004,0940,608
19-174-FI,N,20191008,0945,608
19-175-FI,N,20191008,0949,608
19-176-FI,N,20191008,0951,608
19-177-FI,N,20191008,0956,608
19-178-FI,N,20191008,0958,608
19-179-FI,N,20191008,1001,608
19-180-FI,N,20191008,1005,608
19-181-FI,N,20191008,1017,608
19-172-FI,Y,20191006,1804,562
19-173-FI,N,20191007,0632,586
19-182-FI,N,20191010,2045,559
19-183-FI,N,20191011,1049,548
19-184-FI,N,20191017,0331,592
19-185-FI,N,20191017,0748,389
19-186-FI,N,20191024,0001,569
19-187-FI,Y,20191024,1059,535
19-188-FI,N,20191101,0031,557
19-190-FI,N,20191113,1501,573
19-189-FI,N,20191110,1717,569
