Row Labels,Count of CaseNumber,,,,
2017-GEU-001770,2,,,,
2017-TMU-001848,2,,,,
2018-0A1-005866,2,,,,
2018-0A2-003572,2,,,,
2018-0A6-002932,2,,,,
2018-0A6-003945,2,,,,
2018-0A6-008508,2,,,,
2018-0B3-002966,2,,,,
2018-0B3-009358,2,,,,
2018-0C5-001680,2,,,,
2018-0C6-009472,2,,,,
2018-0D3-000816,2,,,,
2018-0D3-005942,2,,,,
2018-0D3-007433,2,,,,
2018-0D4-001680,2,,,,
2018-0D4-001874,2,,,,
2018-0D4-002845,2,,,,
2018-0D4-003927,2,,,,
2018-0D4-004538,2,,,,
2018-0D4-004747,2,,,,
2018-0D4-005333,2,,,,
2018-0D4-006390,2,,,,
2018-0D4-006672,2,,,,
2018-0D4-006746,2,,,,
2018-0D4-007079,2,,,,
2018-0D7-004377,2,,,,
2018-0E4-000609,2,,,,
2018-0E4-003122,2,,,,
2018-0F1-002024,2,,,,
2018-0F1-004712,2,,,,
2018-0F1-005822,2,,,,
2018-0F1-006275,2,,,,
2018-0F1-011008,2,,,,
2018-0F1-011016,2,,,,
2018-0F1-012311,2,,,,
2018-0F1-012413,2,,,,
2018-0F1-012537,2,,,,
2018-0F1-013305,2,,,,
2018-0F1-015563,2,,,,
2018-0F1-015948,2,,,,
2018-0F1-016891,2,,,,
2018-0F1-020828,2,,,,
2018-0F1-021930,2,,,,
2018-0F1-023494,2,,,,
2018-0F1-025874,2,,,,
2018-0F1-037056,2,,,,
2018-0F1-039061,2,,,,
2018-0F1-039071,2,,,,
2018-0F1-041723,2,,,,
2018-0F1-043122,2,,,,
2018-0F1-044249,2,,,,
2018-0F1-044267,2,,,,
2018-0F1-044761,2,,,,
2018-0F1-044920,2,,,,
2018-0F1-045728,2,,,,
2018-0F1-046045,2,,,,
2018-0F1-046274,2,,,,
2018-0F1-046467,2,,,,
2018-0F1-046910,2,,,,
2018-0F1-047897,2,,,,
2018-0F1-047904,2,,,,
2018-0F1-048000,2,,,,
2018-0F1-048517,2,,,,
2018-0F1-048522,2,,,,
2018-0F1-049656,2,,,,
2018-0F1-049808,2,,,,
2018-0F1-051906,2,,,,
2018-0F1-052319,2,,,,
2018-0F1-052320,2,,,,
2018-0H1-003125,2,,,,
2018-0H1-003181,2,,,,
2018-0H3-001075,2,,,,
2018-0H3-001252,2,,,,
2018-0H3-001706,2,,,,
2018-0H3-001802,2,,,,
2018-0H4-001623,2,,,,
2018-0H4-001752,2,,,,
2018-0H4-001797,2,,,,
2018-0H4-003858,2,,,,
2018-0H4-004168,2,,,,
2018-0H4-004696,2,,,,
2018-0H4-005167,2,,,,
2018-0H4-005395,2,,,,
2018-0H4-005397,2,,,,
2018-0H4-006982,2,,,,
2018-0H4-007053,2,,,,
2018-0H5-003609,2,,,,
2018-0H5-005573,2,,,,
2018-0H5-005796,2,,,,
2018-0H5-005951,2,,,,
2018-0H5-008071,2,,,,
2018-0H6-001029,2,,,,
2018-0H6-003238,2,,,,
2018-0H6-003369,2,,,,
2018-0H6-004672,2,,,,
2018-0H6-005526,2,,,,
2018-0H6-007817,2,,,,
2018-0H7-000597,2,,,,
2018-0H7-004748,2,,,,
2018-0H9-000420,2,,,,
2018-0H9-002506,2,,,,
2018-0H9-002991,2,,,,
2018-0H9-003245,2,,,,
2018-0H9-004212,2,,,,
2018-0H9-004294,2,,,,
2018-0H9-004430,2,,,,
2018-0H9-004480,2,,,,
2018-0H9-004539,2,,,,
2018-0H9-004547,2,,,,
2018-0H9-004557,2,,,,
2018-0H9-004734,2,,,,
2018-0H9-004815,2,,,,
2018-0H9-005465,2,,,,
2018-0H9-005540,2,,,,
2018-0H9-005703,2,,,,
2018-0H9-006367,2,,,,
2018-0H9-006583,2,,,,
2018-0H9-006584,2,,,,
2018-0H9-006644,2,,,,
2018-0H9-006767,2,,,,
2018-GES-000061,2,,,,
2018-GES-000150,2,,,,
