Sex,Age,Race,Ethnicity,Location,Date/Time,Source,Search,Outcome,Officer,Badge,Other Officer,Other Badge
MALE,30,WHITE,NOT OF HISPANIC ORIGIN,15 KIDDER ST,2/23/20 0:00,PAWNS,,,"MENZ, JAMES",5298,,
MALE,28,BLACK,UNKNOWN,55 GERMAIN AV,2/20/20 0:00,PAWN,,,"MENZ, JAMES",5298,,
MALE,24,BLACK,NOT OF HISPANIC ORIGIN,32 TAFFRAIL RD,2/15/20 0:00,PAWN,,,"MENZ, JAMES",5298,,
MALE,17,BLACK,UNKNOWN,,4/3/20 0:00,POSSIBLE FIREARM POSSESSION,,,"CARTHAS, ARTHUR",5536,,
MALE,18,BLACK,NOT OF HISPANIC ORIGIN,,4/3/20 0:00,POSSIBLE FIREARM POSSESSION,,,"CARTHAS, ARTHUR",5536,,
MALE,44,WHITE,NOT OF HISPANIC ORIGIN,476 SOUTH ST,4/10/20 0:00,,,,"MENZ, JAMES",5298,,
FEMALE,23,BLACK,UNKNOWN,72 FARRINGTON ST,4/13/20 12:30,,,,"MENZ, JAMES",5298,,
FEMALE,43,BLACK,UNKNOWN,72 FARRINGTON ST,4/13/20 12:30,,,,"MENZ, JAMES",5298,,
MALE,21,BLACK,UNKNOWN,0 LANSDOWNE ST,4/8/20 19:43,GANG ACTIVITY IN QUINCY,,,"MENZ, JAMES",5298,,
MALE,24,BLACK,UNKNOWN,0 LANSDOWNE ST,4/8/20 19:43,GANG ACTIVITY IN QUINCY,,,"MENZ, JAMES",5298,,
MALE,25,BLACK,UNKNOWN,0 LANSDOWNE ST,4/8/20 19:43,GANG ACTIVITY IN QUINCY,,,"MENZ, JAMES",5298,,
MALE,27,BLACK,UNKNOWN,0 LANSDOWNE ST,4/8/20 19:43,GANG ACTIVITY IN QUINCY,,,"MENZ, JAMES",5298,,
MALE,28,BLACK,UNKNOWN,0 LANSDOWNE ST,4/8/20 19:43,GANG ACTIVITY IN QUINCY,,,"MENZ, JAMES",5298,,
